__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
酱油智只之,普通用户,其他,很可笑吧，年过半百的人了，最坚持的事竟是打麻将，过年也不放弃，新冠病毒也拦不住 ?,收藏转发评论赞,02月01日 22:37微博国际版
娇妹audrey,普通用户,北京 朝阳区,晚上看了央视的新闻调查。全部是围绕武汉金银潭医院。20191229的时候就已经开始有第一批患者住进金银潭，医生此时已经发现和普通流感不同的地方，下呼吸道的取样送到武汉病毒所，1月6日确认了新冠病毒。日子太早了，早到还没确认新冠病毒就又有新的一批患者进来。日子太早了，早到没想到疫情会传播如此迅速。日子太早了，早到这一个月过得如此魔幻。 收起全文d,收藏转发评论赞,02月01日 22:56OPPO Reno
焦糖玛奇朵诶,普通用户,其他,疫情和交通违法免除扣分有什么联系？… ?,收藏转发评论赞,02月01日 22:59iPhone XS
叫叫蘑菇君,普通用户,江西 南昌,每天早上一打开手机看到关于疫情的消息都很揪心，纵观全球，各种灾难灾害层出不穷，我想这大概是大自然对人类的报复吧，也许能放过我们的只有人类自己，希望艰辛过后，大家依然是健康平安，国家依然是国泰民安。受疫情影响这短短几天我们已经损失好几十万了，我想影响不仅仅于此，未来整个行业都将重新洗牌，有人会离去，也有人会脱颖而出，是挑战也是新机遇，我得趁这几天空闲下来好好思索思索未来行业的趋势，想想未来自己的规划。 收起全文d,收藏转发评论赞,02月01日 22:59iPhone客户端
解放军报,蓝V,None,#打赢疫情防控阻击战# 【战“疫”一线，光荣入党】2月1日，陆军军医大学医疗队充分发挥党组织战斗堡垒作用，为冲锋在战“疫”一线的医疗队队员举行了一次特别的入党仪式，鼓舞医疗队队员以更加高昂的的斗志投身疫情防控斗争。（中国军网） ?,收藏转发 42评论 42赞294,02月01日 22:57微博 weibo.com
今日辰溪,黄V,湖南 怀化,【辰溪人2月9日前尽量别出门】据权威专家分析判断，由于1月10日—21日这11天中，陆续有人返乡，如果有病毒感染者，在未来的一周内（即 2月9日前）将会是疫情集中爆发阶段。因此， 2月9日前，尽可能不要出门，更不能前往人口密集地方，有事出门一定要戴口罩，一定要勤洗手。O辰溪资讯｜@辰溪人 2月9日前尽量别出门！ ?,收藏转发 3评论 3赞5,02月01日 22:58辰溪县超话
今视频video,蓝V,None,#抗击新冠肺炎江西在行动#【严守防疫第一线！南昌市医疗垃圾废物处置专项检查进行中】为推进打赢疫情防控阻击战，南昌市加强对各医疗机构的医疗垃圾废物处置的监管，检查医疗废物产生、收集和处置各个环节情况，确保医疗废物得到及时、有序处置，防止疾病传播。  L今视频video的微博视频 ?,收藏转发评论 1赞1,02月01日 22:34微博视频
今天de我不一样瑶满月儿,普通用户,其他,已经启动了“一级响应”所以这次疫情比想象的严重的多！千万不要出去！待在家里！照顾好孩子！能网上买的东西就不要自己出去买！实在不行！想买什么就快去快回！做好防护！ ?,收藏转发评论 1赞1,02月01日 22:58iPhone客户端
今天的我冷冰冰,普通用户,浙江 杭州,疫情过后 医院的乳腺科爆满。都是气出来的 ?,收藏转发评论 3赞3,02月01日 22:57iPhone 8 Plus
金sai鸭蛋黄,普通用户,辽宁 大连,#华南海鲜市场存在大量新冠病毒##最新疫情地图#两个都可恨。吃的人更可恨 O华南海鲜市场存在大量新冠病毒，你觉得买家和卖家哪个更可恨？ ?,收藏转发评论赞,02月01日 22:20iPhone客户端
金榜题名教育官方微博,蓝V,None,【警惕！#深圳确诊患者粪便中检出新冠病毒RNA阳性# 】2月1日，深圳市第三人民医院透露，在某些新型冠状病毒感染的肺炎确诊患者的粪便中检测出新型冠状病毒阳性，很有可能提示粪便中有活病毒存在。目前研究人员正在做进一步分离病毒的研究。提醒广大市民，戴口罩的同时，要勤洗手，注意个人卫生。 L深圳卫健委的微博视频 收起全文d,收藏转发评论赞,02月01日 22:54iPhone客户端
金宸妮,普通用户,河南 信阳,我要崩溃了人的病还没好鸡又生病了 饶了我们吧#湖南发生一起禽流感疫情# ?,收藏转发评论 1赞,02月01日 22:59iPhone客户端
金凡岁月,普通用户,湖北 孝感,在“享福人福深还祷福”这一章回中告诉我们人要懂得“惜福”，福气是有用完的那一天的，贾母是真正有福气的人，她懂得如何勤俭持家，懂得怎么惜福。我倡议在等这场新冠肺炎过去后，不要猎食野生罕见的动物，在保护好自然生态和平的同时，其实也是保护好我们的福气 ?,收藏转发评论赞,02月01日 22:22小米9
金华身边事,黄V,浙江 金华,为什么那么多人着急回金华，是明知山有虎 偏向虎山行吗？真的对疫情一点都不恐惧？新型肺炎疫情，大家都密切关注，相信很多人都知道不出门是最好的防护，出门戴口罩不仅是对自己负责，也对别人负责，从年前开始到现在，每天看着病例在增加，情况不容乐观，当然也有很多的好消息传出！现在年过完了，事儿哥收到很多很多问金华，义乌，东阳，永康是不是已经封了，不让进了。现在每个城市对进出城者都比较谨慎，尤其是湖北籍和在湖北务工的人，现在金华对入城者也谨慎，封是没有封，就是设卡检查，进城者也需要密切关注和隔离！我房东给我发的信息，也表明了进去也要在租房里隔离14天，这14要关在家里，我估计要疯了，这个时候不如在家，还有家人的陪伴，等疫情被控制了，我们再出发也不迟，赚钱不差这十几天时间！ 收起全文d,收藏转发 2评论 43赞34,02月01日 22:59iPhone 8 Plus
金家大乔,普通用户,北京,#共战疫情渝你同在# 小善意，大温暖。我在“抗击疫情，重庆“雄起”！”项目捐款成功！和@肖战DAYTOY公益站 一起用善举温暖更多心灵！@重庆市慈善总会 抗击疫情，重庆“雄起”！ ?,收藏转发评论赞,02月01日 22:58
金融Discovery,普通用户,北京 西城区,#腾讯新闻# 重大发现！深圳部分确诊患者粪便中检测出新冠病毒O重大发现！深圳部分确诊患者粪便中检测出新冠病毒 来自@腾讯新闻 ?,收藏转发评论赞,02月01日 22:55
金融圈事,普通用户,北京,大家真的应该好好思考下，这次新冠肺炎的起因，真的是吃了蝙蝠吗？请大家独立思考下。1.为什么野味市场卖的人没事？2.为什么做这个菜的厨师没事？3.病毒65°C以上灭活了，可吃这个菜的反而会有事？4.武汉海鲜市场旁边的温州人没吃蝙蝠，为什么反而大批出事？5.如果是蝙蝠携带着病毒，为什么全国只有武汉一个爆发点，卖蝙蝠的地方有那么多。综上，很有可能，这就是个阴谋，蝙蝠其实是背锅侠。#武汉肺炎# 收起全文d,收藏转发 1评论 2赞7,02月01日 22:41小米Max3 大屏大电量
金属拉链厂家陈超鹏,普通用户,广东 广州,【#255 期待大家都能顺利开工】这两天陆陆续续有朋友咨询拉链了，有要条装的，有要马装的。很佩服他们，在疫情还没控制住的今天，竟然开工了。只是广州这边，乃至整个珠三角的工厂，大多还是要出了正月十五才能开工。现在别说金属拉链厂开工了，如果没有特别重要的事情家门口都不出了。不过话又说回来，就算没有此次疫情，我们拉链厂开工时间也会比写字楼里面的企业要晚上一周甚至两周时间，正月初十或者十五过后开工，都是正常的事。上半年大家可能会过得比较辛苦些，但前途依旧是光明的，我们工厂和大家一起，也期待疫情得以控制，接着顺利开工。 收起全文d,收藏转发评论赞1,02月01日 22:59华为手机 畅享玩不停
津卫十足,黄V,天津 西青区,【#央行将提供3000亿元专项再贷款#】#关注新型肺炎#2月1日，人民银行副行长潘功胜表示，在疫情防控期间，人民银行将向主要全国性银行和湖北等重点省（市、区）的部分地方法人银行提供总计3000亿元低成本专项再贷款资金，要求获得再贷款资金的银行向应对疫情的重要医用、生活物资生产企业提供优惠利率的信贷支持。 收起全文d,收藏转发评论 1赞3,02月01日 22:59iPhone客户端
锦鲤少女好运呀,普通用户,吉林,#湖南发生一起禽流感疫情#这个2020到底能不能有点人间新闻了 ?,收藏转发评论赞,02月01日 22:57前后2000万 OPPO R11
锦州电台交通广播,蓝V,None,清华这套系统，帮您居家自筛是否感染“新冠”！O清华这套系统，帮您居家自筛是否感染“新冠”！ ?,收藏转发 1评论赞,02月01日 22:13iPhone客户端
劲爆微博视频,普通用户,其他,武汉被训诫的医生李文亮，今日确诊感染新冠肺炎……希望您早日康复！#聚焦新型肺炎# L劲爆微博视频的微博视频 ?,收藏转发 2评论赞9,02月01日 22:19iPhone 7 Plus
经济爆料,黄V,北京,湖南邵阳发生一起家禽H5N1亚型高致病性禽流感疫情。#湖南发生一起禽流感疫情# L经济爆料的微博视频 ?,收藏转发评论 2赞,02月01日 22:58
经济日报,蓝V,None,#中经观点#【#莫让不规范的信息发布搅乱了人心#】1月31日晚，一则“双黄连口服液可抑制新型冠状病毒”的新闻在网络上迅速传播。虽然双黄连口服液并未被列入国家卫生健康委发布的第四版新冠肺炎诊疗方案药品名单，但各大电商平台上的双黄连药品仍然瞬间售罄，很多地方的药店前排起了抢购的长龙。网络上传出关于双黄连抢购各种或真或假的笑谈，据称连双黄莲蓉月饼也卖出了往年中秋节的行市。       令人没想到的是，双黄连的鸿运来得快去得也快。新闻传播的同时，质疑之声即起。之后，在追踪求证下，信息发布者之一的上海药物所表示，目前对此还没有详细的研究，“因为我们只是在武汉病毒所做了一个初步的验证。”有媒体解释，抑制并不等于预防和治疗。至此，整个事件彻底变成了一出闹剧。       当前，疫情蔓延还处于高峰期，隔离仍然是最好的预防办法。因为一则不准确的信息，导致人们出门聚集排队抢购药品，且不说浪费了多少本来就紧俏的口罩，潜在的感染病例又增加了多少？       回头看，信息发布的不规范是造成这场闹剧的主因。科学是严谨的，容不得半点草率。即使医疗科研机构有火线立功、救民水火的初衷，也应严格按照医学科学的程序步骤，完整完成试验确证后，按照规范的程序才能发布成果。一种药物对某种病毒的真实有效需要经过动物实验和临床实验，按照我国的《药品注册管理办法》，临床实验分为四期，仅第一期临床试验就需要20到30例的试验案例，以后逐期递增，到第四期病例数至少需要2000例。而按照上海药物所的说法，双黄连对新型冠状病毒的有效性“目前处于开始做临床试验”的阶段。在没有履行完整程序的情况下贸然发布信息，客观上是对老百姓的“忽悠”。相关药品售罄了，醒过来的人们发现又上了一当，被收了智商税，更有人质疑这是有关机构和媒体在趁机带货、“发国难财”。       疫情之下，处于隔离状态的人们或多或少都会有焦虑情绪，对“特效药”之类的信息高度敏感，抱着“宁可信其有”的心态参与到抢购大潮中。公共媒体的盲目“背书”，迎合了这种焦虑，起到了推波助澜的作用。公共媒体是大众传播，不是专门面向医学院学生的分众传播，不能苛求大众自行厘清“抑制”还是“医治”的字义。公共媒体的优势在于对信息的筛选和求证，也正是由于信息准确度高，公共媒体的权威性才高于自媒体，老百姓才更信任公共媒体。面对疫情蔓延的局面，面对人们的普遍焦虑，此次敏感信息的发布竟然没有遵循新闻的基本规则，没有寻找两个以上的信源，也没有找权威专家做进一步的求证和说明，几乎是以“复读”的方式公之于众，这种做法有失专业水准，辜负了人们对公共媒体的信任，教训是深刻的。       规范信息发布，不仅是对媒体的要求，也是政府部门和有关机构需要认真对待的课题。近日，湖北省和武汉市红十字会成为舆论的焦点，最初不就是因为一组数字的差错引起质疑的吗！正是由于信息发布的不及时、不准确、不规范，让人们对防疫物资的分配发放是否公平合理产生了疑问，进而把红会再度推向网络舆论的风口浪尖上，成为百口莫辩的众矢之的。由此可见，规范信息的发布不是一件小事，处理不妥就会酿成滚雪球式的舆情风暴，严重损害有关部门和机构的公信力，妨碍疫情防控的大局。       病毒蔓延要遏制，病毒式信息也需要防范。越是特殊时期，越要求公共媒体增强大局意识、责任意识，发布权威性针对性的信息，及时回应社会关切和舆论关切。面对群众的焦虑情绪，要做好疫情防控知识普及，引导群众正确理性看待疫情，科学做好防护。       当然，类似双黄连事件的不断发生也说明，公众的科学素养、媒介素养亟待提升。每个人的智商提高一个段位，智商税的起征点就提高一个区间。       疫情总会过去，我们越是稳住阵脚，越是临危不乱，这一天就会越早到来。（刘亮） 收起全文d,收藏转发 24评论 29赞133,02月01日 19:33360安全浏览器
经济之声,蓝V,None,#我国或将引进美新冠患者见效药#【美国新冠肺炎患者使用有效的这款药，2天后中国启动临床试验】据澎湃新闻记者从吉利德科学获悉，其在研新药Remdesivir（#伦地西韦#）治疗新型冠状病毒（2019-nCoV）肺炎的临床试验，将于2月3日在北京中日友好医院启动。这款在研药物原本是针对埃博拉病毒研发的，刚刚在美国的一起案例中被证明对新型冠状病毒感染的肺炎有效。据上观新闻，上海市公共卫生临床中心党委书记、卫健委专家组卢洪洲教授表示，目前，专家组已写好方案及申请，并汇报上级部门，同时与吉列德公司直接联系。从美国同行的研究来看，这一药物的临床疗效立竿见影，基于以往remdesivir在MERS病毒治疗领域亦有突出表现。一旦获准，相关部门也将开通绿色通道引入药物，受益我国病人。 收起全文d,收藏转发 98评论赞39,02月01日 22:35iPhone XS Max
荆州公安,蓝V,None,#抗击疫情公安在行动##我在岗位上# 【如果没有这次疫情 抗击前线的他今天是新郎】  正月初八，对于吴凡是个特殊的日子：如果没有这次疫情，今天他是新郎! 春节前，吴凡和未婚妻决定正月初八举行婚礼。大年三十吴凡在派出所值班，正月初一回家休息。新型肺炎疫情突然来临，他毅然决定取消正月初八的婚礼赶回单位参加疫情防控，父母、准新娘非常支持。正月初二，吴凡赶回派出所参与24小时值班值守，坚守疫情防控第一线，年轻民警吴凡的身影温暖百姓，守护乡村平安！#我愿意为你守护# @平安_松滋 收起全文d,收藏转发评论 2赞2,02月01日 22:58iPhone客户端
惊蛰谷雨露LHO,普通用户,江苏 南通,#抗击疫情 希望同行#与爱同路，让爱回家。我在“抗击疫情-希望工程特别行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ 愿我和@林曦很攻 一起放大爱的力量！@中国青少年发展基金会 抗击疫情-希望工程特别行动 ?,收藏转发评论赞,02月01日 22:58微公益
精分水怪,普通用户,黑龙江,关注新冠肺炎让我迅速从根正苗红五好少年进化成反动激进分子 ???,收藏转发评论赞,02月01日 22:55OPPO智能手机
囧头条o,普通用户,湖北 襄阳,#家人被隔离湖北17岁脑瘫儿在家6天死亡# 书记镇长被免职  1日早上，记者从黄冈红安县肺炎防控指挥部获悉，华家河镇确诊新冠病毒肺炎患者鄢小文儿子鄢成（脑瘫患者，16岁），在集中观测点房间内确认死亡。红安县调查组查实，镇党委政府在疫情防控期间，存在工作作风不实 O网页链接 ?,收藏转发评论赞1,02月01日 22:29微博 weibo.com
啾咪2020要活着,普通用户,湖北 武汉,#美国首例新冠肺炎患者7天痊愈#你们这样子说，那我们之前骂那个吃野味的不是白骂了。如果真的是美国的错，那我们白骂了那么多天了。 2武汉 ?,收藏转发评论赞1,02月01日 22:44nova4e 3200W立体美颜
九堡发布,蓝V,None,今天，你戴口罩了吗？相江社区为居民送上口罩 “我基本不出门，除非必要，比如买菜什么的，但只要出门我肯定会戴上口罩。这是保护自己，也是保护他人”相江社区志愿者杨先生如此说到。连日来的宣传，社区居民的防护意识已经明显增强，出门自觉佩戴口罩。但由于疫情的持续时间较长，有些居民家里已经没有口罩，针对这一现象，相江社区服务中心的傅书记立即安排社工在小区出入口送口罩给缺少口罩的社区居民。在相江社区各楼幢间，志愿者杨先生戴着口罩“全副武装”，正在向社区居民宣传如何提高防范感染新型冠状病毒的知识，指导他们出入公共场所时如何戴口罩、戴好口罩。新型冠状病毒感染的肺炎疫情防控工作开展以来，通过社区和媒体宣传，他知道医用口罩可以有效预防病毒传播等很多防疫知识，现在只要出门就会佩戴口罩，不仅是保护自己也是保护他人。这也是他志愿来参加社区组织的宣传工作的原因。“身边有些人本来没有这种意识，但好在他们愿意听、愿意做，现在社区大部分人都牢牢树立了这种意识。”杨先生说。为打赢新型冠状病毒肺炎这场硬仗，相江社区广泛开展公共场所佩戴口罩劝导工作，并组织志愿者们和群众代表通过张贴《新型肺炎疫情防控紧急通告》、大喇叭宣传、防疫海报、告社区居民一封信和悬挂防疫横幅等宣传形式，帮助他们了解预防病毒传染的重要性，正确引导大家出入公共场所时戴上口罩、戴好口罩。据统计，截止目前，相江社区共发放1000余只口罩，发动100余人开展公共场所佩戴口罩劝导工作，且成功劝导上千人在公共场所戴上口罩、戴好口罩。抗疫情，我们在一起！ 收起全文d,收藏转发评论 6赞,02月01日 22:57HUAWEI nova 2s
九二九月,普通用户,安徽,#二月你好# 等到疫情结束那天，才是新年吧 2滁州 ?,收藏转发评论赞,02月01日 22:59iPhone 11(紫色)
九号调停者6096721709,普通用户,其他,现在情况是武汉许许多多的原则其实已经完全符合新冠肺炎症状却因为无法确诊只能在家等死，无法确诊也许是因为医疗资源不够医院不敢给答复或者是确认试纸不够。那么其实，周边省份其实医疗资源还是充足的，只是严阵待命而已，一边只能在家等死，一边却闲置着医疗资源，武汉人也是中国人，为何周边省份不能接收，看到那些等在家里绝望的武汉患者，他们什么也不能做，只能等死，因为武汉医疗资源只有这么些，请问有人考虑过周边省份医疗资源共享吗@新京报 @央视网 @博爱江城 @赫兹实验室 @西藏昌都人韩红 @曝料一哥 @财经网 @昌亮法师 @但斌 @潘石屹 @紫光阁 收起全文d,收藏转发评论赞1,02月01日 22:27HUAWEI Mate 20 Pro
九江发布,蓝V,None,【73岁#李兰娟院士带队出征武汉#救治危重症病人】2月1日下午，73岁的国家卫健委高级别专家组成员、我国著名传染病学专家李兰娟院士临危受命，再次出征武汉，带领医疗队前往救治危重症病人。李兰娟在出征现场表示，因新冠肺炎疫情进入关键期，武汉危重症病人增多，浙江在抗击H7N9时，总结了人工肝、“四抗二平衡”等经验，希望把这套经验应用到武汉危重病人救治上。据了解，李兰娟带领的医疗团队包括该院感染科、重症监护、人工肝治疗方面的专家。 O73岁李兰娟院士带领医疗队出征武汉救治危重症病人  ? @澎湃新闻 收起全文d,收藏转发评论 1赞7,02月01日 20:50政务直通车
九月多戈,普通用户,北京,过年开始就一直处在家人、小朋的友嬉嬉闹闹中，终于有一个安静的夜晚听听歌，上班延期，因为疫情的各种感动与崩溃，真善美，假恶丑，只有歌是真好听！ 分享单曲 KAll My (@网易云音乐) ?,收藏转发评论赞,02月01日 22:58网易云音乐
镹龍杯,普通用户,山东,抗击新冠肺炎疫情又来新力量！新冠肺炎快检设备驰援烟台 分享自大小新闻客户端 O抗击新冠肺炎疫情又来新力量！新冠肺炎快检设备驰援烟台 ?,收藏转发评论赞,02月01日 22:19iPhone客户端
酒后行为艺术家2299,普通用户,山东 济南,千万别有人说??就着榴莲吃能治新冠肺炎。别过两天农家肥都t??涨价了。#双黄连可抑制新型冠状病毒# ?,收藏转发评论赞2,02月01日 22:56HUAWEI P30
酒泉发布,蓝V,None,#众志成城  共抗疫情##各地美食给武汉热干面加油# 酒泉美食也来给武汉热干面加油喽！@共青团酒泉市委员会 @金塔发布 @玉门发布@瓜州宣传 @敦煌发布 @肃北宣传 @阿克塞发布微博 ?,收藏转发 2评论 1赞2,02月01日 22:59360安全浏览器
酒窝骗子0914,普通用户,黑龙江,#湖南禽流感#不懂就问 已经无害化处理 现在还有传给人的可能吗？不会爆发疫情吧？ 2牡丹江 ?,收藏转发评论赞,02月01日 22:59OPPO智能手机
酒业时报,黄V,北京 东城区,1月30日下午至31日，贵州茅台江苏省经销商联谊会组织发起了助力打赢防控新型冠状病毒疫情阻击战的爱心捐款，短短一天半的时间，全省68家茅台酒经销商共计认捐369万元和部分医用物资，定向捐予湖北和江苏的慈善组织，其中60％左右捐给湖北省慈善总会，40％左右捐给江苏省慈善总会，并指定善款将专项用于支援新型冠状病毒疫情防控工作，这些款项将于2月3日前全部汇给接受捐赠单位。除此之外，江苏的茅台经销商们还纷纷在所在市县捐款捐物，发挥江苏茅台人的社会责任和担当精神，大家期盼着能为防控疫情尽一份绵薄之力，作出应有的贡献。#贵州茅台 sh600519# #武汉加油# #万众一心抗击新冠肺炎# #酒业正能量# @贵州茅台官微 收起全文d,收藏转发 1评论 3赞6,02月01日 22:52微博 weibo.com
酒宥,普通用户,上海,#卧床少女出逃日记# 史上最无聊VLOG处子作记录新冠禁足以来第一次出门化妆半小时 出门十分钟你以为刚开始 其实已经结束了（某个憨憨给我起的话题名 不懂她的用意 L酒宥的微博视频 ?,收藏转发评论 8赞12,02月01日 21:59iPad Pro
就是汪柳幺妖呀,普通用户,四川 成都,#武汉红十字会辟谣拦扣医疗物资#别说这么多，把你们分配物资、确认哪些医院需要新冠物资、专项捐款的方式公布了，把收到的捐款捐物数量公布了，所有细节跟火神山雷神山一样整成直播，把那些个所谓领导要的口罩给劳资先吐出来再来辟谣@湖北省红十字基金会 麻烦带货一哥，业界大佬报道一下细节跟惩治的后续@央视新闻 @环球网 @人民日报 收起全文d,收藏转发 2评论 2赞9,02月01日 22:10iPhone 7
居居小萍,黄V,北京,#武汉人朱一龙为同胞加油#  #武汉你好吗# 每天持续关注疫情的信息看着在前线的医护人员们的身影感恩、想哭今天朱一龙先生带来了一首《武汉，你好吗》前面的独白就潸然泪下了那是他的家乡，他热爱的家乡现在生病了，他得是多么的伤心但是，一切都会好起来的！我们跟武汉在一起！武汉加油！中国加油！待到樱花盛开时，我要去武汉看看@朱一龙 L电影频道融媒体中心的微博视频 收起全文d,收藏转发评论赞,02月01日 22:58朱一龙超话
巨杉种植者,普通用户,海南 海口,『新冠肺炎药物Remdesivir（瑞德西韦）在2020年2月3日在中国开始临床试验，中日友好医院牵头 @MedSci』O网页链接 ?,收藏转发评论赞,02月01日 22:41HUAWEI Mate 20 Pro
聚焦汇川,蓝V,None,【#战疫情#20万元！又一家爱心企业捐款助力汇川防控疫情】1月31日，在全民防控“新冠”疫情的时刻，遵义市三源酒业股份有限公司主动捐款20万元，全力支持疫情防控工作。为这家爱心企业点赞O战疫情丨20万元！又一家爱心企业捐款助力汇川防控疫情 ?,收藏转发评论赞1,02月01日 22:18微博 weibo.com
决策科学,普通用户,北京 丰台区,发布了头条文章：《法院紧急通知：严打新冠病毒9类36种犯罪，最高死刑》  O法院紧急通知：严打新冠病毒9类36种犯罪，最高死刑 ?,收藏转发评论赞2,02月01日 22:58微博 weibo.com
军长蜀黍,黄V,北京 朝阳区,#新型冠状病毒#对于疫情传播：1.要做“王母娘娘”断天河，阻流动，有关人员流动归零。2.要有“地方保护主义”，内外有别，进村先挨体温枪，相应措施分对象。3.要学女人“坐月子”，窝在家里，“砚冰已合灯花老，犹对群书拥敝袍”。4.要众志成“沉”，沉住气、沉在家、少出动、不添乱，保安全、做贡献。5.要“口有遮拦”，非得外出，须有口罩“罩着你” ，管住手（勤洗手）、“封”住口。#众志成城河南有情# 收起全文d,收藏转发评论赞1,02月01日 22:59
俊先生_吕吕,普通用户,海外,??我这一个亿的快乐 去睡了，然后什么时候疫情结束，想买面膜 擦脸油 花衣服 吧啦吧啦吧！ ?,收藏转发评论 2赞2,02月01日 22:59iPhone
开江发布,蓝V,None,【#最新动态# 应对当前新冠肺炎疫情心理危机干预工作方案出台】        为指导各地科学、规范地开展新型冠状病毒感染的肺炎疫情相关心理危机干预工作，达州市卫生健康委员会于2月1日印发了《达州市应对新型冠状病毒感染肺炎疫情心理危机干预工作方案》。            该方案从心理干预原则、心理干预目的、确定目标人群、心理干预流程等方面做了周密安排。同时，为有序开展心理危机干预和心理疏导工作，全市成立心理干预专家组并下设心理援助热线队、心理救援医疗队、心理健康宣教队3个工作队40名专家，对疫情期间急需情绪疏导和心理支持的人群（包括一线医护人员和管理人员）提供24小时线上线下心理干预服务。 收起全文d,收藏转发评论赞3,02月01日 22:05nova4e 3200W立体美颜
楷锴·黄昌平,普通用户,湖南,疫情背后的思考??在繁华落尽，我们才能明白，比物质更重要的，敬畏自然，天人合一，唯情而已。 2长沙 L楷锴·黄昌平的微博视频 ?,收藏转发评论 1赞,02月01日 22:59iPhone客户端
看海人观山,普通用户,其他,新冠时期 上了一天发热门诊，下班了，就想慢慢走回家。因为居家隔离，路上没有什么行人，偶尔有几辆车驶过。沿着江津湖走，看着对面的捲雪楼，还有掩映在树丛里的春秋阁，平日假期里都是人们休闲娱乐的地方，如今公园关门了，对岸的冷清可想而知。这个冬天，这个春节是冷清的、凄凉的、也是残缺的。 ?,收藏转发评论赞,02月01日 21:56HUAWEI Mate 30 5G
考研的死肥宅,普通用户,广东 广州,《1917》能撐到疫情過去上映嗎超級想去看！！！啊！啊！！ ?,收藏转发评论 2赞,02月01日 22:59iPhone客户端
考研人201901,普通用户,北京,希望疫情快点好起来，大家都要健健康康的，都要睡了，又看了微博头条，又新出现了H5N1，希望不要有传染现象，最近都不要吃鸡肉了?????? ?,收藏转发评论赞,02月01日 22:59HUAWEI nova 3e
科工力量,黄V,上海 长宁区,#新药伦地西韦将在中国试验#【#美首例新冠患者用新药后好转#，该药2天后中国启动临床试验】2月1日，记者从吉利德科学获悉，其在研新药Remdesivir（瑞德西韦）治疗新型冠状病毒（2019-nCoV）肺炎的临床试验，将于2月3日在北京中日友好医院启动。据悉，吉利德将配合中国的卫生部门开展一项随机、对照试验，以确定使用Remdesivir治疗2019-nCoV感染者是否安全和有效。这款在研药物原本是针对埃博拉病毒研发的，刚刚在美国的一起案例中被证明对新型冠状病毒感染的肺炎有效。当地时间1月31日，顶级医学期刊《新英格兰医学》杂志刊发了美国这名感染了新型冠状病毒肺炎的、30多岁的男子的诊疗详细过程。L澎湃新闻的微博视频 收起全文d,收藏转发 87评论 53赞200,02月01日 22:40微博 weibo.com
科技金融说,普通用户,天津,我发表了头条文章:《浙江：中国人寿各级机构积极参与疫情防控》 O浙江：中国人寿各级机构积极参与疫情防控 ?,收藏转发评论赞,02月01日 22:59荣耀20 PRO
可爱大佳哥,普通用户,山东 潍坊,大疫当前，万众一心，全民抗疫，共渡难关，这是好的，这是中华名族的精神。但是《传染病防治法》对于疫情防治当中的责任分工和责任主体甚至是防疫物资发放是相当明确的，就目前我们当地，我只看到了社区、物业、志愿者的身影，那些职能部门在哪里？那些防疫物资在哪里？全民防疫的精神是好的，但是也掩盖不了全社会为基层政府及其相关职能部门擦屁股的事实，我想问下这些职能部门是不是只有拿拨款的时候才在，这些职能部门事后是不是应该追责？@吃土少女风格纪 2高密市 收起全文d,收藏转发评论赞,02月01日 22:58HUAWEI nova 3
可遇不可求的兴空,黄V,湖南,张艺兴#一封给2020的心愿单#1.希望我们早日击退疫情2.希望所有人都平平安安，健健康康3.恳求工作室能对艺兴的事多上一点心 张艺兴能站在格莱美的舞台上 ?,收藏转发评论赞9,02月01日 22:59张艺兴超话
铿金锵油一一倾墨,普通用户,广东 广州,#外汇黄金原油走势实时解析#    【防疫关键时刻，柬埔寨首相洪森表态：不会背弃中国，愿患难与共】30日上午，柬埔寨首相洪森针对目前柬民众普遍关注的发生在中国的新型冠状病毒感染肺炎疫情发表全国电视直播讲话。洪森表示，现在不会停止所有来自中国的航班，也不会劝告在中国留学的柬埔寨学生回国。他呼吁在华留学和工作的柬埔寨学生和外交官冷静：不要在困难时刻抛弃中国。洪森表示，疫情当前，柬埔寨将不会“背弃”中国，愿意在此非常时期与中国政府和人民患难与共。【伦敦金  美原油   期货原油 能源 天然气  恒生指数 期货 纸黄金 黄金TD 白银TD  】 收起全文d,收藏转发评论赞,02月01日 22:58Android
铿锵草根,普通用户,广西 河池,『重磅！美国首例新冠病毒确诊病例康复全记录』O重磅！美国首例新冠病毒确诊病例康复全记录 ?,收藏转发评论赞,02月01日 22:59iPhone客户端
空山幽谷闻兰香,普通用户,浙江 绍兴,新冠肺炎2020.2.1 2诸暨市 ?,收藏转发评论赞,02月01日 22:29iPhone客户端
孔维道,普通用户,湖北 武汉,#武汉封城#第十天大年初八本来是开业开工的大好日子，不是武汉的老板发来火神山医院急需吊顶工人的信息我都忘了今天该开工了。年前一场突如其来的新冠杀的我们措手不及，家人团圆取消，拜年取消，开业延后，开工延后，开学延后……瞬间整个中国按下了暂停键，全体呆在家里，阻击新冠，保家卫国。各位亲们，注意身体，保护好自己和家人等到春暖花开疫情散去，大家共同进步，一起发财！[發] 收起全文d,收藏转发评论赞,02月01日 22:20iPhone客户端
